Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      172    0.007    0.000    0.089    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\format.py:512(_filter_header)
       39    0.001    0.000    0.087    0.002 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\font_manager.py:1179(findfont)
        1    0.003    0.003    0.084    0.084 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\font_manager.py:1240(_findfont_cached)
        1    0.079    0.079    0.079    0.079 {built-in method matplotlib._png.write_png}
      172    0.079    0.000    0.079    0.000 {method 'close' of '_io.BufferedWriter' objects}
        4    0.000    0.000    0.075    0.019 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1074(_update_ticks)
        7    0.070    0.010    0.070    0.010 {built-in method nt.stat}
        5    0.000    0.000    0.069    0.014 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\genericpath.py:27(isfile)
       39    0.069    0.002    0.069    0.002 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\font_manager.py:1338(get_font)
     3529    0.018    0.000    0.067    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tokenize.py:487(_tokenize)
       27    0.001    0.000    0.064    0.002 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:56(__init__)
       12    0.000    0.000    0.051    0.004 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2286(__init__)
       41    0.004    0.000    0.045    0.001 C:/Users/shahar/Research/RC_SET/dots_array.py:415(setConstWork)
       40    0.000    0.000    0.043    0.001 C:/Users/shahar/Research/RC_SET/dots_array.py:308(changeVext)
        4    0.000    0.000    0.043    0.011 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1404(get_major_ticks)
       15    0.000    0.000    0.038    0.003 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1928(_get_tick)
        1    0.000    0.000    0.036    0.036 C:/Users/shahar/Research/RC_SET/dots_array.py:1297(saveRandomParams)
       87    0.004    0.000    0.036    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\lines.py:273(__init__)
     3185    0.003    0.000    0.033    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tokenize.py:147(_compile)
      246    0.000    0.000    0.033    0.000 <__array_function__ internals>:2(pad)
        7    0.000    0.000    0.032    0.005 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2350(__init__)
      246    0.005    0.000    0.031    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\arraypad.py:579(pad)
     3185    0.002    0.000    0.030    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\re.py:232(compile)
     3341    0.006    0.000    0.028    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\re.py:271(_compile)
        1    0.000    0.000    0.027    0.027 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\pyplot.py:2791(plot)
        2    0.000    0.000    0.027    0.013 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:393(get_renderer)
