Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.046    0.008 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\patches.py:563(draw)
      269    0.001    0.000    0.045    0.000 <__array_function__ internals>:2(dot)
       12    0.000    0.000    0.045    0.004 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:119(draw_path)
       12    0.044    0.004    0.044    0.004 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       50    0.003    0.000    0.044    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\lines.py:667(recache)
        1    0.000    0.000    0.044    0.044 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\figure.py:275(__init__)
       16    0.042    0.003    0.043    0.003 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\_methods.py:63(_clip_dep_is_scalar_nan)
        1    0.000    0.000    0.042    0.042 <__array_function__ internals>:2(roll)
        1    0.042    0.042    0.042    0.042 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\numeric.py:1106(roll)
       20    0.000    0.000    0.041    0.002 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\artist.py:709(set_clip_path)
       35    0.000    0.000    0.041    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\lines.py:1021(get_path)
       28    0.000    0.000    0.039    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\patches.py:209(get_transform)
     3185    0.003    0.000    0.039    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tokenize.py:147(_compile)
       22    0.000    0.000    0.038    0.002 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\patches.py:757(get_patch_transform)
       22    0.000    0.000    0.038    0.002 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\patches.py:728(_update_patch_transform)
      246    0.000    0.000    0.037    0.000 <__array_function__ internals>:2(pad)
     3185    0.002    0.000    0.036    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\re.py:232(compile)
       52    0.000    0.000    0.035    0.001 <__array_function__ internals>:2(column_stack)
      246    0.005    0.000    0.035    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\arraypad.py:579(pad)
       37    0.001    0.000    0.035    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\transforms.py:1930(rotate_deg)
       22    0.000    0.000    0.035    0.002 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\transforms.py:1950(rotate_deg_around)
